AGI	Experiment	Category	Melt_Cat
AT2G25090	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G25900	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G26560	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G28110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G28910	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G29320	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G29660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G30600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G33480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G34110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G34420	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G36320	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G36800	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G37220	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G37920	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G38310	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G38400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G38860	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G39660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G39710	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G41410	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G41870	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G42030	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G42390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G43150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G43330	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G44065	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G45680	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT2G47450	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01590	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G01970	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02140	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02468	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02470	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G02830	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G03150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G03990	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G05060	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G05937	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G06080	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G07430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G07660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G08730	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G09390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G10190	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G11090	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G12360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G12400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13350	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13520	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13750	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G13790	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G14067	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G14650	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G14660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G15354	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G15530	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G16150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G16720	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G16770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G17800	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G18030	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G18080	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G19540	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G20390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G20898	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G22380	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G23390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G23550	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G23820	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G24070	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G24080	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G25717	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G26520	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G27210	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G44010	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G47820	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48000	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G48870	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G50690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G50770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G51110	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G51430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G52480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G53668	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G53670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G54100	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G54670	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G54900	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G55730	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G55960	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G60140	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G60400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G61600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G61690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G62980	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G63210	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G63310	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G63380	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT3G63400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G00830	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G01540	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G02370	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G02920	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G05050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G05320	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G08460	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G10970	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G11360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G11660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G12300	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G12800	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G13250	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G13340	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G14540	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G14580	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G14990	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G15550	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G16380	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G16490	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G16695	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G16950	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G17486	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G19160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G19420	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G19510	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G19950	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G20860	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G21320	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G24240	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G24280	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G24570	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G24805	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G24810	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G24900	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G25690	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G25692	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G25780	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G26060	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G26400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G26500	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G26520	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G26630	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G26910	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G27500	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G27840	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G28240	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G28290	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G28770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G29060	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G30200	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G30910	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G30960	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G31150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G31510	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G32060	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G32600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G33050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G33740	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G34138	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G34160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G34750	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G34890	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G34920	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G35470	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G35600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G35770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G35785	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G36040	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G36850	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G36900	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G38540	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G39090	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G39260	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G39780	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT4G39840	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G01210	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G01810	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G01920	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G02030	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G02480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G03380	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G04770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G05380	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G07740	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G08300	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G09460	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G09461	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G09462	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G09463	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G11090	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G11580	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G11700	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G12890	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G13330	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G13950	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G14370	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G18460	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G18540	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G19120	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G19400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G19480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G19850	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G20050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G20170	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G20250	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G21940	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G23050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G23920	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G24320	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G25280	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G27660	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G27840	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G37260	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G38430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G39570	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G40340	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G40370	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G40450	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G41020	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G42050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G42620	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G43180	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G43700	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G46570	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G47040	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G47050	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G47880	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G49230	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G49300	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G49360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G49400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G50430	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G53500	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G54160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G54270	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G56010	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G56030	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G56360	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G56550	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G57220	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G59780	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G60030	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G60400	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G61020	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G61228	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G61230	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G61770	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G62390	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G62600	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G63150	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G63160	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G63370	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G63790	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G64120	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G64570	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G65010	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G65210	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G65310	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G65630	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G65730	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G66052	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G66730	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT5G67480	GMUCT	UP_DOWN	GMUCT_UP_DOWN
AT1G01140	GMUCT	UP	GMUCT_UP
AT1G01260	GMUCT	UP	GMUCT_UP
AT1G01300	GMUCT	UP	GMUCT_UP
