AGI	Tissue
AT1G50900	14_day_old_seedling
AT5G02790	14_day_old_seedling
AT3G61870	14_day_old_seedling
AT3G30390	14_day_old_seedling
AT3G47070	14_day_old_seedling
AT4G27800	14_day_old_seedling
AT4G09010	14_day_old_seedling
AT1G49970	14_day_old_seedling
AT5G19510	14_day_old_seedling
AT2G33800	14_day_old_seedling
AT2G36530	14_day_old_seedling
AT2G33450	14_day_old_seedling
AT2G43150	14_day_old_seedling
AT5G07020	14_day_old_seedling
AT1G11260	14_day_old_seedling
AT1G76490	14_day_old_seedling
AT1G70760	14_day_old_seedling
AT4G15545	14_day_old_seedling
AT2G21330	14_day_old_seedling
AT5G14320	14_day_old_seedling
AT1G65980	14_day_old_seedling
AT4G36040	14_day_old_seedling
AT3G29320	14_day_old_seedling
AT1G68530	14_day_old_seedling
AT4G18710	14_day_old_seedling
AT3G45780	14_day_old_seedling
AT5G10360	14_day_old_seedling
AT1G65930	14_day_old_seedling
AT5G53460	14_day_old_seedling
AT3G18890	14_day_old_seedling
AT1G11840	14_day_old_seedling
AT2G46220	14_day_old_seedling
AT1G66200	14_day_old_seedling
AT4G13770	14_day_old_seedling
AT1G67870	14_day_old_seedling
AT2G19730	14_day_old_seedling
AT3G02730	14_day_old_seedling
AT5G26742	14_day_old_seedling
AT3G49120	14_day_old_seedling
AT3G03250	14_day_old_seedling
AT3G48990	14_day_old_seedling
AT2G46330	14_day_old_seedling
AT5G05170	14_day_old_seedling
AT1G18540	14_day_old_seedling
AT3G19170	14_day_old_seedling
AT4G02890	14_day_old_seedling
AT2G40490	14_day_old_seedling
AT5G16710	14_day_old_seedling
AT2G06850	14_day_old_seedling
AT1G78370	14_day_old_seedling
AT3G58680	14_day_old_seedling
AT5G58330	14_day_old_seedling
AT1G50010	14_day_old_seedling
AT4G34620	14_day_old_seedling
AT4G13340	14_day_old_seedling
AT1G32080	14_day_old_seedling
AT5G62720	14_day_old_seedling
AT2G28000	14_day_old_seedling
AT4G22505	14_day_old_seedling
AT2G27860	14_day_old_seedling
AT1G04820	14_day_old_seedling
AT5G47030	14_day_old_seedling
AT1G56280	14_day_old_seedling
AT4G27520	14_day_old_seedling
AT5G20720	14_day_old_seedling
AT2G39800	14_day_old_seedling
AT4G21860	14_day_old_seedling
AT3G20390	14_day_old_seedling
AT5G16130	14_day_old_seedling
AT5G14920	14_day_old_seedling
AT4G11650	14_day_old_seedling
AT3G51950	14_day_old_seedling
AT2G18280	14_day_old_seedling
AT5G65660	14_day_old_seedling
AT4G26690	14_day_old_seedling
AT2G24270	14_day_old_seedling
AT3G27830	14_day_old_seedling
AT1G80070	14_day_old_seedling
AT5G03040	14_day_old_seedling
AT2G42540	14_day_old_seedling
AT3G60770	14_day_old_seedling
AT2G36880	14_day_old_seedling
AT1G35680	14_day_old_seedling
AT1G65260	14_day_old_seedling
AT1G74050	14_day_old_seedling
AT1G25275	14_day_old_seedling
AT2G34860	14_day_old_seedling
AT1G23130	14_day_old_seedling
AT4G19110	14_day_old_seedling
AT1G69510	14_day_old_seedling
AT1G19660	14_day_old_seedling
AT5G10860	14_day_old_seedling
AT1G75350	14_day_old_seedling
AT3G59780	14_day_old_seedling
AT3G01690	14_day_old_seedling
AT3G10860	14_day_old_seedling
AT4G14960	14_day_old_seedling
AT5G57040	14_day_old_seedling
AT5G47210	14_day_old_seedling
AT1G31812	14_day_old_seedling
AT5G51550	14_day_old_seedling
AT2G47940	14_day_old_seedling
AT2G43680	14_day_old_seedling
AT1G02205	14_day_old_seedling
AT2G15090	14_day_old_seedling
AT3G48560	14_day_old_seedling
AT4G09800	14_day_old_seedling
AT5G35170	14_day_old_seedling
AT1G20440	14_day_old_seedling
AT4G31500	14_day_old_seedling
AT1G01320	14_day_old_seedling
AT1G11750	14_day_old_seedling
AT3G56400	14_day_old_seedling
AT5G63160	14_day_old_seedling
AT4G15470	14_day_old_seedling
AT2G42220	14_day_old_seedling
AT1G64230	14_day_old_seedling
AT3G51820	14_day_old_seedling
AT5G05690	14_day_old_seedling
AT5G20290	14_day_old_seedling
AT1G16410	14_day_old_seedling
AT5G44340	14_day_old_seedling
AT5G22920	14_day_old_seedling
AT4G30190	14_day_old_seedling
AT5G42390	14_day_old_seedling
AT5G40950	14_day_old_seedling
AT4G34110	14_day_old_seedling
AT1G27400	14_day_old_seedling
AT1G03630	14_day_old_seedling
AT5G11770	14_day_old_seedling
AT3G56340	14_day_old_seedling
AT3G14990	14_day_old_seedling
AT1G20260	14_day_old_seedling
AT1G68590	14_day_old_seedling
AT1G75460	14_day_old_seedling
AT2G18440	14_day_old_seedling
AT1G15500	14_day_old_seedling
AT5G08680	14_day_old_seedling
AT1G09130	14_day_old_seedling
AT5G65220	14_day_old_seedling
AT1G45201	14_day_old_seedling
AT1G29670	14_day_old_seedling
AT1G55490	14_day_old_seedling
AT1G33590	14_day_old_seedling
AT1G79750	14_day_old_seedling
AT4G08950	14_day_old_seedling
AT4G38740	14_day_old_seedling
AT1G72370	14_day_old_seedling
AT3G06700	14_day_old_seedling
AT3G52500	14_day_old_seedling
AT2G38140	14_day_old_seedling
AT4G39730	14_day_old_seedling
AT1G12240	14_day_old_seedling
AT5G02870	14_day_old_seedling
AT5G15780	14_day_old_seedling
AT5G14040	14_day_old_seedling
AT4G16870	14_day_old_seedling
AT1G11650	14_day_old_seedling
AT3G03780	14_day_old_seedling
AT2G35050	14_day_old_seedling
AT3G44890	14_day_old_seedling
AT1G27450	14_day_old_seedling
AT1G18080	14_day_old_seedling
AT5G15200	14_day_old_seedling
AT3G23600	14_day_old_seedling
AT4G35000	14_day_old_seedling
AT4G14040	14_day_old_seedling
AT3G52590	14_day_old_seedling
AT4G26710	14_day_old_seedling
AT5G63400	14_day_old_seedling
AT3G09390	14_day_old_seedling
AT1G28400	14_day_old_seedling
AT1G28290	14_day_old_seedling
AT3G45640	14_day_old_seedling
AT4G32060	14_day_old_seedling
AT4G04330	14_day_old_seedling
AT1G43170	14_day_old_seedling
AT5G62790	14_day_old_seedling
AT3G48420	14_day_old_seedling
AT4G38920	14_day_old_seedling
AT1G09560	14_day_old_seedling
AT3G63190	14_day_old_seedling
AT1G75690	14_day_old_seedling
AT1G70410	14_day_old_seedling
AT1G15930	14_day_old_seedling
AT1G06760	14_day_old_seedling
AT5G14260	14_day_old_seedling
AT1G54500	14_day_old_seedling
AT2G15620	14_day_old_seedling
AT5G05200	14_day_old_seedling
AT4G22240	14_day_old_seedling
AT5G58140	14_day_old_seedling
AT2G47390	14_day_old_seedling
AT3G62410	14_day_old_seedling
AT3G01540	14_day_old_seedling
AT1G79550	14_day_old_seedling
AT3G04840	14_day_old_seedling
AT4G30660	14_day_old_seedling
AT1G76030	14_day_old_seedling
AT3G61260	14_day_old_seedling
AT1G71695	14_day_old_seedling
AT4G14880	14_day_old_seedling
AT5G23900	14_day_old_seedling
AT4G22490	14_day_old_seedling
AT5G03880	14_day_old_seedling
AT1G05190	14_day_old_seedling
AT4G24690	14_day_old_seedling
AT1G79600	14_day_old_seedling
AT2G42530	14_day_old_seedling
AT3G14067	14_day_old_seedling
AT5G65670	14_day_old_seedling
AT2G47610	14_day_old_seedling
AT3G52960	14_day_old_seedling
AT4G23600	14_day_old_seedling
AT1G48920	14_day_old_seedling
AT3G20820	14_day_old_seedling
AT5G64740	14_day_old_seedling
AT2G03680	14_day_old_seedling
AT5G11420	14_day_old_seedling
AT1G70780	14_day_old_seedling
AT3G11170	14_day_old_seedling
AT3G52150	14_day_old_seedling
AT2G29670	14_day_old_seedling
AT1G62750	14_day_old_seedling
AT4G38510	14_day_old_seedling
AT4G25050	14_day_old_seedling
AT1G20693	14_day_old_seedling
AT3G14310	14_day_old_seedling
AT1G20010	14_day_old_seedling
AT3G57520	14_day_old_seedling
AT5G19760	14_day_old_seedling
AT5G15650	14_day_old_seedling
AT2G37170	14_day_old_seedling
AT1G16180	14_day_old_seedling
AT5G57660	14_day_old_seedling
AT4G18480	14_day_old_seedling
AT1G21680	14_day_old_seedling
AT1G56340	14_day_old_seedling
AT4G15560	14_day_old_seedling
AT3G13460	14_day_old_seedling
AT3G22440	14_day_old_seedling
AT4G24280	14_day_old_seedling
AT3G09630	14_day_old_seedling
AT3G59060	14_day_old_seedling
AT4G00100	14_day_old_seedling
AT3G19820	14_day_old_seedling
AT5G50950	14_day_old_seedling
AT3G52990	14_day_old_seedling
AT4G19410	14_day_old_seedling
AT4G30440	14_day_old_seedling
AT4G05150	14_day_old_seedling
AT4G19860	14_day_old_seedling
AT3G09820	14_day_old_seedling
AT2G20990	14_day_old_seedling
AT2G41840	14_day_old_seedling
AT5G62300	14_day_old_seedling
AT1G11430	14_day_old_seedling
AT2G04378	14_day_old_seedling
AT1G70600	14_day_old_seedling
AT1G08360	14_day_old_seedling
AT5G49730	14_day_old_seedling
AT1G53210	14_day_old_seedling
AT4G01310	14_day_old_seedling
AT5G47110	14_day_old_seedling
AT5G61790	14_day_old_seedling
AT3G25770	14_day_old_seedling
AT3G62250	14_day_old_seedling
AT1G29070	14_day_old_seedling
AT2G38530	14_day_old_seedling
AT1G01090	14_day_old_seedling
AT1G75500	14_day_old_seedling
AT1G74910	14_day_old_seedling
AT5G09220	14_day_old_seedling
AT3G61440	14_day_old_seedling
AT1G06040	14_day_old_seedling
AT1G07920	14_day_old_seedling
AT1G65960	14_day_old_seedling
AT5G14120	14_day_old_seedling
AT3G15190	14_day_old_seedling
AT4G25130	14_day_old_seedling
AT1G67700	14_day_old_seedling
AT5G13450	14_day_old_seedling
AT2G20610	14_day_old_seedling
AT4G34870	14_day_old_seedling
AT2G34510	14_day_old_seedling
AT4G17040	14_day_old_seedling
AT4G16720	14_day_old_seedling
AT1G78680	14_day_old_seedling
AT3G48140	14_day_old_seedling
AT5G33320	14_day_old_seedling
AT1G80380	14_day_old_seedling
AT2G22980	14_day_old_seedling
AT1G77490	14_day_old_seedling
AT1G48410	14_day_old_seedling
AT1G52220	14_day_old_seedling
AT1G73600	14_day_old_seedling
AT1G74060	14_day_old_seedling
AT5G64400	14_day_old_seedling
AT2G36390	14_day_old_seedling
AT1G07080	14_day_old_seedling
AT2G33340	14_day_old_seedling
AT4G11600	14_day_old_seedling
AT5G25280	14_day_old_seedling
AT3G54400	14_day_old_seedling
AT5G04590	14_day_old_seedling
AT4G24190	14_day_old_seedling
AT1G08200	14_day_old_seedling
AT4G17340	14_day_old_seedling
AT3G22380	14_day_old_seedling
AT3G08590	14_day_old_seedling
AT1G65230	14_day_old_seedling
AT5G42100	14_day_old_seedling
AT3G14930	14_day_old_seedling
AT5G12250	14_day_old_seedling
AT1G68520	14_day_old_seedling
AT1G52300	14_day_old_seedling
AT1G62510	14_day_old_seedling
AT5G16150	14_day_old_seedling
AT5G38980	14_day_old_seedling
AT3G23700	14_day_old_seedling
AT4G17390	14_day_old_seedling
AT1G75800	14_day_old_seedling
AT5G17870	14_day_old_seedling
AT3G23400	14_day_old_seedling
AT5G50850	14_day_old_seedling
AT1G70700	14_day_old_seedling
AT4G23400	14_day_old_seedling
AT5G54760	14_day_old_seedling
AT2G03440	14_day_old_seedling
AT1G29395	14_day_old_seedling
AT1G71500	14_day_old_seedling
AT4G27990	14_day_old_seedling
AT1G27950	14_day_old_seedling
AT3G18050	14_day_old_seedling
AT5G65620	14_day_old_seedling
AT5G46430	14_day_old_seedling
AT4G31700	14_day_old_seedling
AT3G04290	14_day_old_seedling
AT3G55770	14_day_old_seedling
AT3G51600	14_day_old_seedling
AT5G58070	14_day_old_seedling
AT2G29650	14_day_old_seedling
AT1G72430	14_day_old_seedling
AT2G02760	14_day_old_seedling
AT2G38170	14_day_old_seedling
AT2G35490	14_day_old_seedling
AT4G11380	14_day_old_seedling
AT3G04910	14_day_old_seedling
AT4G32940	14_day_old_seedling
AT5G23120	14_day_old_seedling
AT4G37410	14_day_old_seedling
AT3G08740	14_day_old_seedling
AT2G01970	14_day_old_seedling
AT2G45670	14_day_old_seedling
AT1G73230	14_day_old_seedling
AT5G02240	14_day_old_seedling
AT1G03475	14_day_old_seedling
AT2G44100	14_day_old_seedling
AT3G03150	14_day_old_seedling
AT5G30510	14_day_old_seedling
AT5G47930	14_day_old_seedling
AT3G08530	14_day_old_seedling
AT4G33510	14_day_old_seedling
AT3G51730	14_day_old_seedling
