AGI	Experiment	Category	Melt_Cat
AT1G07590	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07600	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07630	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07640	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07720	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07725	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07728	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07770	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07790	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07820	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07890	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07920	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07930	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07940	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08010	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08115	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08180	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08230	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08250	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08280	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08315	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08360	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08380	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08420	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08510	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08560	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08570	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08580	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08650	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08700	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08770	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08840	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08880	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G08960	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09070	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09160	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09200	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09240	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09250	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09575	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09590	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09640	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09660	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09690	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09750	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09780	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09830	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09850	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G09970	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10020	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10140	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10150	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10160	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10170	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10180	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10350	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10380	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10390	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10410	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10460	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10590	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10600	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10610	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10630	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10640	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10650	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10657	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10660	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10720	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10740	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10840	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10850	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10940	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10950	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G10960	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11020	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11112	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11125	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11130	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11175	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11220	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11280	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11440	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11600	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11680	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11700	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11860	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G11960	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12020	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12060	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12090	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12240	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12310	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12320	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12330	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12380	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12420	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12430	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12440	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12450	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12460	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12500	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12570	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12580	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12640	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12680	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12760	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12830	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12840	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12845	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12850	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12910	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12920	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G12990	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13020	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13050	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13090	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13110	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13180	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13190	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13195	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13245	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13250	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13280	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13360	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13390	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13440	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13450	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13640	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13670	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13710	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13730	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13740	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13940	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G13980	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14000	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14040	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14200	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14280	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14320	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14330	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14345	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14350	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14430	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14440	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14460	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14560	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14670	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14685	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14690	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14710	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14720	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14740	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14770	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14830	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14850	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14890	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14900	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G14920	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15000	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15030	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15100	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15140	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15230	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15260	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15270	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15290	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15360	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15370	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15400	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15500	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15530	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15570	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15690	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15700	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15750	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15760	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15885	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15920	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15930	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G15970	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16010	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16060	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16210	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16250	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16260	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16500	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16510	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16680	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16790	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16820	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G16858	SMALL	UP_XRN4	SMALL_UP_XRN4
